Date,SP500,NASDAQ,VIX
2014-03-20,1872.010009765625,4319.2900390625,14.520000457763672
2014-03-21,1866.52001953125,4276.7900390625,15.0
2014-03-24,1857.43994140625,4226.39013671875,15.09000015258789
2014-03-25,1865.6199951171875,4234.27001953125,14.020000457763672
2014-03-26,1852.56005859375,4173.580078125,14.930000305175781
2014-03-27,1849.0400390625,4151.22998046875,14.619999885559082
2014-03-28,1857.6199951171875,4155.759765625,14.40999984741211
2014-03-31,1872.3399658203125,4198.990234375,13.880000114440918
2014-04-01,1885.52001953125,4268.0400390625,13.100000381469727
2014-04-02,1890.9000244140625,4276.4599609375,13.09000015258789
2014-04-03,1888.77001953125,4237.740234375,13.369999885559082
2014-04-04,1865.0899658203125,4127.72998046875,13.960000038146973
2014-04-07,1845.0400390625,4079.75,15.569999694824219
2014-04-08,1851.9599609375,4112.990234375,14.890000343322754
2014-04-09,1872.1800537109375,4183.89990234375,13.819999694824219
2014-04-10,1833.0799560546875,4054.110107421875,15.890000343322754
2014-04-11,1815.68994140625,3999.72998046875,17.030000686645508
2014-04-14,1830.6099853515625,4022.68994140625,16.110000610351562
2014-04-15,1842.97998046875,4034.159912109375,15.609999656677246
2014-04-16,1862.31005859375,4086.22998046875,14.180000305175781
2014-04-17,1864.8499755859375,4095.52001953125,13.359999656677246
2014-04-21,1871.8900146484375,4121.5498046875,13.25
2014-04-22,1879.550048828125,4161.4599609375,13.1899995803833
2014-04-23,1875.3900146484375,4126.97021484375,13.270000457763672
2014-04-24,1878.6099853515625,4148.33984375,13.319999694824219
2014-04-25,1863.4000244140625,4075.56005859375,14.0600004196167
2014-04-28,1869.4300537109375,4074.39990234375,13.970000267028809
2014-04-29,1878.3299560546875,4103.5400390625,13.710000038146973
2014-04-30,1883.949951171875,4114.56005859375,13.40999984741211
2014-05-01,1883.6800537109375,4127.4501953125,13.25
2014-05-02,1881.1400146484375,4123.89990234375,12.90999984741211
2014-05-05,1884.6600341796875,4138.06005859375,13.289999961853027
2014-05-06,1867.719970703125,4080.760009765625,13.800000190734863
2014-05-07,1878.2099609375,4067.669921875,13.399999618530273
2014-05-08,1875.6300048828125,4051.5,13.430000305175781
2014-05-09,1878.47998046875,4071.8701171875,12.920000076293945
2014-05-12,1896.6500244140625,4143.85986328125,12.229999542236328
2014-05-13,1897.449951171875,4130.169921875,12.130000114440918
2014-05-14,1888.530029296875,4100.6298828125,12.170000076293945
2014-05-15,1870.8499755859375,4069.2900390625,13.170000076293945
2014-05-16,1877.8599853515625,4090.590087890625,12.4399995803833
2014-05-19,1885.0799560546875,4125.81005859375,12.420000076293945
2014-05-20,1872.8299560546875,4096.89013671875,12.960000038146973
2014-05-21,1888.030029296875,4131.5400390625,11.90999984741211
2014-05-22,1892.489990234375,4154.33984375,12.029999732971191
2014-05-23,1900.530029296875,4185.81005859375,11.359999656677246
2014-05-27,1911.9100341796875,4237.06982421875,11.510000228881836
2014-05-28,1909.780029296875,4225.080078125,11.680000305175781
2014-05-29,1920.030029296875,4247.9501953125,11.569999694824219
2014-05-30,1923.5699462890625,4242.6201171875,11.399999618530273
2014-06-02,1924.969970703125,4237.2001953125,11.579999923706055
2014-06-03,1924.239990234375,4234.080078125,11.869999885559082
2014-06-04,1927.8800048828125,4251.64013671875,12.079999923706055
2014-06-05,1940.4599609375,4296.22998046875,11.680000305175781
2014-06-06,1949.43994140625,4321.39990234375,10.729999542236328
2014-06-09,1951.27001953125,4336.240234375,11.149999618530273
2014-06-10,1950.7900390625,4338.0,10.989999771118164
2014-06-11,1943.8900146484375,4331.93017578125,11.600000381469727
2014-06-12,1930.1099853515625,4297.6298828125,12.5600004196167
2014-06-13,1936.1600341796875,4310.64990234375,12.180000305175781
2014-06-16,1937.780029296875,4321.10009765625,12.649999618530273
2014-06-17,1941.989990234375,4337.22998046875,12.0600004196167
2014-06-18,1956.97998046875,4362.83984375,10.609999656677246
2014-06-19,1959.47998046875,4359.330078125,10.619999885559082
2014-06-20,1962.8699951171875,4368.0400390625,10.850000381469727
2014-06-23,1962.6099853515625,4368.68017578125,10.979999542236328
2014-06-24,1949.97998046875,4350.35009765625,12.130000114440918
2014-06-25,1959.530029296875,4379.759765625,11.59000015258789
2014-06-26,1957.219970703125,4379.0498046875,11.630000114440918
2014-06-27,1960.9599609375,4397.93017578125,11.260000228881836
2014-06-30,1960.22998046875,4408.18017578125,11.569999694824219
2014-07-01,1973.3199462890625,4458.64990234375,11.149999618530273
2014-07-02,1974.6199951171875,4457.72998046875,10.819999694824219
2014-07-03,1985.43994140625,4485.93017578125,10.319999694824219
2014-07-07,1977.6500244140625,4451.52978515625,11.329999923706055
2014-07-08,1963.7099609375,4391.4599609375,11.979999542236328
2014-07-09,1972.8299560546875,4419.02978515625,11.649999618530273
2014-07-10,1964.6800537109375,4396.2001953125,12.59000015258789
2014-07-11,1967.5699462890625,4415.490234375,12.079999923706055
2014-07-14,1977.0999755859375,4440.419921875,11.819999694824219
2014-07-15,1973.280029296875,4416.39013671875,11.960000038146973
2014-07-16,1981.5699462890625,4425.97021484375,11.0
2014-07-17,1958.1199951171875,4363.4501953125,14.539999961853027
2014-07-18,1978.219970703125,4432.14990234375,12.0600004196167
2014-07-21,1973.6300048828125,4424.7001953125,12.8100004196167
2014-07-22,1983.530029296875,4456.02001953125,12.239999771118164
2014-07-23,1987.010009765625,4473.7001953125,11.520000457763672
2014-07-24,1987.97998046875,4472.10986328125,11.84000015258789
2014-07-25,1978.3399658203125,4449.56005859375,12.6899995803833
2014-07-28,1978.9100341796875,4444.91015625,12.5600004196167
2014-07-29,1969.949951171875,4442.7001953125,13.279999732971191
2014-07-30,1970.0699462890625,4462.89990234375,13.329999923706055
2014-07-31,1930.6700439453125,4369.77001953125,16.950000762939453
2014-08-01,1925.1500244140625,4352.64013671875,17.030000686645508
2014-08-04,1938.989990234375,4383.89013671875,15.119999885559082
2014-08-05,1920.2099609375,4352.83984375,16.8700008392334
2014-08-06,1920.239990234375,4355.0498046875,16.3700008392334
2014-08-07,1909.5699462890625,4334.97021484375,16.65999984741211
2014-08-08,1931.5899658203125,4370.89990234375,15.770000457763672
2014-08-11,1936.9200439453125,4401.330078125,14.229999542236328
2014-08-12,1933.75,4389.25,14.130000114440918
2014-08-13,1946.719970703125,4434.1298828125,12.899999618530273
2014-08-14,1955.1800537109375,4453.0,12.420000076293945
2014-08-15,1955.06005859375,4464.93017578125,13.149999618530273
